,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_Status,Shift,Line
0,54.96714153011233,48.61735698828815,,,47.658466252766644,47.6586304305082,65.79212815507391,57.67434729152909,45.30525614065048,,,,Line B
1,45.365823071875376,45.34270246429743,52.41962271566034,30.86719755342202,32.75082167486967,44.37712470759027,39.87168879665576,53.142473325952736,40.91975924478789,,Faulty,Morning,Line A
2,64.65648768921554,47.74223699513465,50.67528204687924,35.75251813786544,44.556172754748175,51.10922589709866,38.490064225776976,53.75698018345672,43.99361310081195,47.083062502067236,Faulty,Morning,Line C
3,43.98293387770603,68.52278184508938,49.86502775262066,39.422890710440996,,37.791563500289776,52.08863595004755,30.403298761202244,,51.96861235869123,Faulty,Night,Line A
4,57.38466579995411,51.7136828118997,48.843517176117594,46.98896304410711,35.214780096325725,42.801557916052914,45.393612290402125,,53.43618289568462,32.36959844637266,,Night,Line A
5,53.24083969394795,46.149177195836835,43.23077999694041,,,59.31280119116199,41.607824767773614,46.907876241487855,53.31263431403564,59.75545127122359,Faulty,,
6,,48.14341023336183,38.93665025993972,,58.125258223941984,63.56240028570823,49.27989878419666,60.03532897892024,53.61636025047634,43.54880245394876,Operational,Morning,
7,53.61395605508414,65.38036566465969,49.64173960890049,65.64643655814007,23.802548959102555,58.21902504375224,50.870470682381715,47.009926495341325,,30.124310853991073,Maintenance,Night,Line C
8,47.80328112162488,53.57112571511746,64.77894044741517,,41.91506397106812,44.982429564154636,59.15402117702074,,44.70239796232961,55.13267433113356,Faulty,,Line C
9,50.9707754934804,,42.979469061226474,46.723378534022316,46.078918468678424,35.364850518678814,,52.610552721798896,50.05113456642461,47.65412866624853,Maintenance,Night,Line B
10,35.84629257949586,45.79354677234641,46.572854834732304,,48.387142883339905,54.040508568145384,68.8618590121053,51.74577812831839,52.57550390722764,,Maintenance,Evening,Line C
11,30.812287847009586,49.73486124550783,50.60230209941027,74.63242112485287,,53.015473423336125,49.65288230294757,38.31321962380468,,57.519330326867745,Operational,Night,Line A
12,,40.906125452052606,64.02794310936099,,55.868570938002705,71.90455625809979,,44.33702270397228,,44.96524345883801,Operational,Evening,Line C
13,34.493365689338674,50.68562974806027,,,40.80575765766197,65.4993440501754,42.16746707663763,46.77938483794324,58.135172173696695,,Operational,Evening,Line B
14,52.27459934604129,63.07142754282428,33.92516765438772,51.84633858532304,52.598827942484235,57.8182287177731,37.63049289121918,36.795433869157236,55.21941565616898,52.96984673233186,Faulty,Evening,Line C
15,52.504928503458764,53.46448209496975,43.19975278421509,52.322536971610035,52.93072473298681,42.85648581973632,,,38.08696502797351,56.5655360863383,Faulty,Morning,
16,40.253183297726785,57.87084603742452,61.58595579007404,41.7931768164829,,54.12780926936498,58.2206015999449,68.96792982653947,47.54611883997129,,,Morning,
17,41.10485570374477,41.841897150345616,49.228982905858956,53.41151974816644,,58.27183249036024,50.13001891877907,64.53534077157317,47.35343166762044,77.20169166589619,,Night,Line A
18,,41.42842443583717,,54.824724152431855,,57.14000494092092,54.73237624573545,49.271710873431275,41.532062819315954,34.851527753141355,,Evening,Line A
19,45.53485047932979,58.56398794323472,52.14093744130204,37.542612212880115,51.73180925851182,53.85317379728837,41.16142563798867,51.53725105945528,50.58208718446,38.57029702169377,Operational,Night,Line A
20,53.577873603482836,55.60784526368234,,60.53802052034903,,40.62174960084877,55.1503526720866,55.13785950912209,55.150476863060476,,Maintenance,Evening,Line A
21,55.70890510693167,61.35565640180599,59.54001763493203,56.51391251305798,46.84730755359654,57.589692204932675,42.27174785462428,47.63181393259991,45.14636452170897,50.81874139386323,Maintenance,Evening,Line A
22,73.14658566673509,31.32734807408252,56.86260190374514,33.87284128810349,45.280681342105666,60.889505969673664,50.64280019095463,39.22255222070694,42.84696290740032,56.79597748934676,Maintenance,,Line B
23,,52.16458589581975,,43.483996523941826,71.43944089325325,56.33919022318011,29.74857413342393,,,58.52433334796224,Faulty,Night,Line A
24,42.07479261567299,48.85263558533101,55.049872789804574,58.657551941701215,,46.654987641590516,45.25054688839044,43.46670767426288,67.65454240281096,54.049817109609556,Operational,Night,Line C
25,37.391160456649544,59.17861947054776,71.22156197012633,60.32465260551147,34.80630034045987,45.15765927133749,62.669111491866225,42.92330534381219,54.43819428146229,57.74634053429337,Maintenance,Night,Line B
26,40.730695284219166,49.404746439382,17.58732659930927,,47.4743184860684,,66.32411303931636,35.69858622039367,45.599555133030165,,Faulty,Morning,Line B
27,64.41273289066116,,61.63163752154959,,,54.62103474263271,,43.99783122841205,,46.1468640313824,Operational,Evening,Line C
28,51.13517345251248,56.62130674521047,,37.62184501173151,71.33033374656267,30.479122004774982,48.482149049644164,,52.809918677350325,43.77300480179406,Operational,,Line C
29,47.918777496427246,45.06999065341167,,58.496020970210246,,43.070904047393455,58.995998754332504,53.072995208766095,58.1286211883896,56.29628841923612,Maintenance,Morning,Line C
